name,year,year_period,continent,country,mass_cleaned,mass_bin,recclass_clean,reclat,reclong
Aachen,1880.0,19th Century,Europe,Belgium,21.0,10-100g,L5,50.775,6.08333
Aarhus,1951.0,20th Century,Europe,Denmark,720.0,100-1kg,H6,56.18333,10.23333
Abee,1952.0,20th Century,North America,Canada,50369.99999999971,>10kg,H4,54.21667,-113.0
Acapulco,1976.0,20th Century,North America,Mexico,1914.0,1-10kg,L-OTHER,16.88333,-99.9
Achiras,1902.0,20th Century,South America,Argentina,780.0,100-1kg,L6,-33.16667,-64.95
Adhi Kot,1919.0,20th Century,Asia,Pakistan,4239.0,1-10kg,H4,32.1,71.8
Adzhi-Bogdo (stone),1949.0,20th Century,Asia,Mongolia,910.0,100-1kg,L-OTHER,44.83333,95.16667
Agen,1814.0,19th Century,Europe,France,30000.0,>10kg,H5,44.21667,0.61667
Aguada,1930.0,20th Century,South America,Argentina,1620.0,1-10kg,L6,-31.6,-65.23333
Aguila Blanca,1920.0,20th Century,South America,Argentina,1440.0,1-10kg,L-OTHER,-30.86667,-64.55
Aioun el Atrouss,1974.0,20th Century,Africa,Mauritania,1000.0,100-1kg,OTHER,16.39806,-9.57028
Aïr,1925.0,20th Century,Africa,Niger,24000.0,>10kg,L6,19.08333,8.38333
Aire-sur-la-Lys,1769.0,Ancient,Europe,France,32.6,10-100g,OTHER,50.66667,2.33333
Akaba,1949.0,20th Century,Asia,Jordan,779.0,100-1kg,L6,29.51667,35.05
Akbarpur,1838.0,19th Century,Asia,India,1800.0,1-10kg,H4,29.71667,77.95
Akwanga,1959.0,20th Century,Africa,Nigeria,3000.0,1-10kg,H-OTHER,8.91667,8.43333
Akyumak,1981.0,20th Century,Asia,Turkey,50000.0,>10kg,IRON,39.91667,42.81667
Al Rais,1957.0,20th Century,Asia,Saudi Arabia,160.0,100-1kg,CARBONACEOUS,24.41667,39.51667
Al Zarnkh,2001.0,21st Century,Africa,Sudan,700.0,100-1kg,L5,13.66033,28.96
Alais,1806.0,19th Century,Europe,France,6000.0,1-10kg,CARBONACEOUS,44.11667,4.08333
Albareto,1766.0,Ancient,Europe,Italy,2000.0,1-10kg,L-OTHER,44.65,11.01667
Alberta,1949.0,20th Century,Africa,Democratic Republic of the Congo,625.0,100-1kg,L-OTHER,2.0,22.66667
Alby sur Chéran,2002.0,21st Century,Europe,France,252.0,100-1kg,OTHER,45.82133,6.01533
Aldsworth,1835.0,19th Century,Europe,United Kingdom,700.0,100-1kg,L5,51.78333,-1.78333
Aleppo,1873.0,19th Century,Asia,Syria,3200.0,1-10kg,L6,36.23333,37.13333
Alessandria,1860.0,19th Century,Europe,Italy,908.0,100-1kg,H5,44.88333,8.75
Alexandrovsky,1900.0,20th Century,Europe,Ukraine,9251.0,1-10kg,H4,50.95,31.81667
Alfianello,1883.0,19th Century,Europe,Italy,50369.99999999971,>10kg,L6,45.26667,10.15
Allegan,1899.0,19th Century,North America,United States of America,32000.0,>10kg,H5,42.53333,-85.88333
Allende,1969.0,20th Century,North America,Mexico,50369.99999999971,>10kg,CARBONACEOUS,26.96667,-105.31667
Almahata Sitta,2008.0,21st Century,Africa,Sudan,3950.0,1-10kg,L-OTHER,20.74575,32.41275
Alta'ameem,1977.0,20th Century,Asia,Iraq,6000.0,1-10kg,L5,35.27333,44.21556
Ambapur Nagla,1895.0,19th Century,Asia,India,6400.0,1-10kg,H5,27.66667,78.25
Andhara,1880.0,19th Century,Asia,India,2700.0,1-10kg,L-OTHER,26.58333,85.56667
Andover,1898.0,19th Century,North America,United States of America,3200.0,1-10kg,L6,44.61667,-70.75
Andreevka,1969.0,20th Century,Europe,Ukraine,600.0,100-1kg,L-OTHER,48.7,37.5
Andura,1939.0,20th Century,Asia,India,17900.0,>10kg,H6,20.88333,76.86667
Angers,1822.0,19th Century,Europe,France,32.6,10-100g,L6,47.46667,-0.55
Angra dos Reis (stone),1869.0,19th Century,South America,Brazil,1500.0,1-10kg,OTHER,-22.96667,-44.31667
Ankober,1942.0,20th Century,Africa,Ethiopia,6500.0,1-10kg,H4,9.53333,39.71667
Anlong,1971.0,20th Century,Asia,China,2500.0,1-10kg,H5,25.15,105.18333
Aomori,1984.0,20th Century,Asia,Japan,320.0,100-1kg,L6,40.81056,140.78556
Appley Bridge,1914.0,20th Century,Europe,United Kingdom,15000.0,>10kg,L6,53.58333,-2.71667
Apt,1803.0,19th Century,Europe,France,3200.0,1-10kg,L6,43.86667,5.38333
Arbol Solo,1954.0,20th Century,South America,Argentina,810.0,100-1kg,H5,-33.0,-66.0
Archie,1932.0,20th Century,North America,United States of America,5070.0,1-10kg,H6,38.5,-94.3
Arroyo Aguiar,1950.0,20th Century,South America,Argentina,7450.0,1-10kg,H5,-31.41667,-60.66667
Asco,1805.0,19th Century,Europe,France,41.0,10-100g,H6,42.45,9.03333
Ash Creek,2009.0,21st Century,North America,United States of America,9500.0,1-10kg,L6,31.805,-97.01
Ashdon,1923.0,20th Century,Europe,United Kingdom,1300.0,1-10kg,L6,52.05,0.3
Assisi,1886.0,19th Century,Europe,Italy,2000.0,1-10kg,H5,43.03333,12.55
Atarra,1920.0,20th Century,Asia,India,1280.0,1-10kg,L-OTHER,25.25417,80.625
Atemajac,1896.0,19th Century,North America,Mexico,94.2,10-100g,L6,20.06667,-103.66667
Athens,1933.0,20th Century,North America,United States of America,265.0,100-1kg,L6,34.75,-87.0
Atoka,1945.0,20th Century,North America,United States of America,1384.2,1-10kg,L6,34.31667,-96.15
Aubres,1836.0,19th Century,Europe,France,800.0,100-1kg,OTHER,44.38333,5.16667
Aumale,1865.0,19th Century,Africa,Algeria,50000.0,>10kg,L6,36.16667,3.66667
Aumieres,1842.0,19th Century,Europe,France,2000.0,1-10kg,L6,44.33333,3.23333
Ausson,1858.0,19th Century,Europe,France,50000.0,>10kg,L5,43.08333,0.58333
Avanhandava,1952.0,20th Century,South America,Brazil,9330.0,1-10kg,H4,-21.46028,-49.95083
Avce,1908.0,20th Century,Europe,Italy,1230.0,1-10kg,IRON,46.0,13.5
Avilez,1855.0,19th Century,North America,Mexico,146.0,100-1kg,H-OTHER,25.0,-103.5
Awere,1968.0,20th Century,Africa,Uganda,134.0,100-1kg,L-OTHER,2.71667,32.83333
Aztec,1938.0,20th Century,North America,United States of America,2830.0,1-10kg,L6,36.8,-108.0
Bachmut,1814.0,19th Century,Europe,Ukraine,18000.0,>10kg,L6,48.6,38.0
Bahjoi,1934.0,20th Century,Asia,India,10322.0,>10kg,L-OTHER,28.48333,78.5
Bald Mountain,1929.0,20th Century,North America,United States of America,3700.0,1-10kg,L-OTHER,35.96667,-82.48333
Baldwyn,1922.0,20th Century,North America,United States of America,345.0,100-1kg,L6,34.5,-88.66667
Bali,1907.0,20th Century,Africa,Central African Republic,1000.0,100-1kg,CARBONACEOUS,5.38333,16.38333
Ban Rong Du,1993.0,20th Century,Asia,Thailand,16700.0,>10kg,IRON,16.66667,101.18333
Bandong,1871.0,19th Century,Asia,Indonesia,11500.0,>10kg,L6,-6.91667,107.6
Bansur,1892.0,19th Century,Asia,India,15000.0,>10kg,L6,27.7,76.33333
Banswal,1913.0,20th Century,Asia,India,14.0,10-100g,L5,30.4,78.2
Banten,1933.0,20th Century,Asia,Indonesia,629.0,100-1kg,CARBONACEOUS,-6.33333,106.0
Barbotan,1790.0,Ancient,Europe,France,6400.0,1-10kg,H5,43.95,-0.05
Barcelona (stone),1704.0,Ancient,Europe,Spain,32.6,10-100g,OTHER,41.36667,2.16667
Barea,1842.0,19th Century,Europe,Spain,3200.0,1-10kg,OTHER,42.38333,-2.5
Barnaul,1904.0,20th Century,Europe,Russia,23.2,10-100g,H5,52.73333,84.08333
Barntrup,1886.0,19th Century,Europe,Germany,17.0,10-100g,L-OTHER,52.0,9.1
Baroti,1910.0,20th Century,Asia,India,4500.0,1-10kg,L6,31.61667,76.8
Barwell,1965.0,20th Century,Europe,United Kingdom,44000.0,>10kg,L5,52.56528,-1.33972
Bassikounou,2006.0,21st Century,Africa,Mauritania,29560.0,>10kg,H5,15.78333,-5.9
Baszkówka,1994.0,20th Century,Europe,Poland,15500.0,>10kg,L5,52.03333,20.93583
Bath,1892.0,19th Century,North America,United States of America,21000.0,>10kg,H4,45.41667,-98.31667
Bath Furnace,1902.0,20th Century,North America,United States of America,50369.99999999971,>10kg,L6,38.25,-83.75
Battle Mountain,2012.0,21st Century,North America,United States of America,2900.0,1-10kg,L6,40.66813,-117.18913
Bawku,1989.0,20th Century,Africa,Burkina Faso,1557.0,1-10kg,L5,11.08333,-0.18333
Baxter,1916.0,20th Century,North America,United States of America,611.0,100-1kg,L6,36.75,-93.5
Beardsley,1929.0,20th Century,North America,United States of America,16000.0,>10kg,H5,39.8,-101.2
Beaver Creek,1893.0,19th Century,North America,Canada,14000.0,>10kg,H5,51.16667,-117.33333
Beddgelert,1949.0,20th Century,Europe,United Kingdom,794.0,100-1kg,H5,53.01667,-4.1
Bells,1961.0,20th Century,North America,United States of America,375.0,100-1kg,CARBONACEOUS,33.6,-96.46667
Belville,1937.0,20th Century,South America,Argentina,32.6,10-100g,OTHER,-32.33333,-64.86667
Benares (a),1798.0,Ancient,Asia,India,3700.0,1-10kg,L-OTHER,25.36667,82.91667
Benguerir,2004.0,21st Century,Africa,Morocco,25000.0,>10kg,L6,32.25,-8.15
Beni M'hira,2001.0,21st Century,Africa,Tunisia,19000.0,>10kg,L6,32.86667,10.8
Benld,1938.0,20th Century,North America,United States of America,1770.5,1-10kg,H6,39.08333,-89.15
Benoni,1943.0,20th Century,Africa,South Africa,3880.0,1-10kg,H6,-26.16667,28.41667
Bensour,2002.0,21st Century,Africa,Morocco,45000.0,>10kg,L6,30.0,-7.0
Benton,1949.0,20th Century,North America,Canada,2840.0,1-10kg,L6,45.95,-67.55
Berduc,2008.0,21st Century,South America,Argentina,270.0,100-1kg,L6,-31.91,-58.32833
Béréba,1924.0,20th Century,Africa,Burkina Faso,18000.0,>10kg,OTHER,11.65,-3.65
Berlanguillas,1811.0,19th Century,Europe,Spain,1440.0,1-10kg,L6,41.68333,-3.8
Berthoud,2004.0,21st Century,North America,United States of America,960.0,100-1kg,OTHER,40.30583,-105.02325
Bethlehem,1859.0,19th Century,North America,United States of America,13.9,10-100g,H-OTHER,42.53333,-73.83333
Beuste,1859.0,19th Century,Europe,France,2000.0,1-10kg,L5,43.21667,-0.23333
Beyrout,1921.0,20th Century,Asia,Lebanon,1100.0,1-10kg,L-OTHER,33.88333,35.5
Bhagur,1877.0,19th Century,Asia,India,18.0,10-100g,L6,20.88333,74.83333
Bhawad,2002.0,21st Century,Asia,India,678.0,100-1kg,L6,26.50833,73.11528
Bherai,1893.0,19th Century,Asia,Unknown,100.0,10-100g,L6,20.83333,71.46667
Bhola,1940.0,20th Century,Asia,Unknown,1047.0,1-10kg,L-OTHER,22.68333,90.65
Bholghati,1905.0,20th Century,Asia,India,2500.0,1-10kg,H-OTHER,22.08333,86.9
Bialystok,1827.0,19th Century,Europe,Poland,4000.0,1-10kg,OTHER,53.1,23.2
Bielokrynitschie,1887.0,19th Century,Europe,Ukraine,1900.0,1-10kg,H4,50.13333,27.16667
Bilanga,1999.0,20th Century,Africa,Burkina Faso,25000.0,>10kg,OTHER,12.45,-0.08333
Binningup,1984.0,20th Century,Asia,Unknown,488.1,100-1kg,H5,-33.15639,115.67639
Birni N'konni,1923.0,20th Century,Africa,Nigeria,560.0,100-1kg,H4,13.76667,5.3
Bishopville,1843.0,19th Century,North America,United States of America,6000.0,1-10kg,OTHER,34.16667,-80.28333
Bishunpur,1895.0,19th Century,Asia,India,1039.0,1-10kg,L-OTHER,25.38333,82.6
Bjelaja Zerkov,1796.0,Ancient,Europe,Ukraine,1850.0,1-10kg,H6,49.78333,30.16667
Bjurböle,1899.0,19th Century,Europe,Finland,50369.99999999971,>10kg,L-OTHER,60.4,25.8
Black Moshannan Park,1941.0,20th Century,North America,United States of America,705.0,100-1kg,L5,40.91667,-78.08333
Blackwell,1906.0,20th Century,North America,United States of America,2381.0,1-10kg,L5,36.83333,-97.33333
Blanket,1909.0,20th Century,North America,United States of America,5100.0,1-10kg,L6,31.83333,-98.83333
Blansko,1833.0,19th Century,Europe,Czechia,470.0,100-1kg,H6,49.36667,16.63333
Bloomington,1938.0,20th Century,North America,United States of America,67.8,10-100g,L6,40.48,-89.00417
Bo Xian,1977.0,20th Century,Asia,China,7500.0,1-10kg,L-OTHER,33.83333,115.83333
Bocas,1804.0,19th Century,North America,Mexico,56.0,10-100g,L6,23.0,-102.0
Bogou,1962.0,20th Century,Africa,Burkina Faso,8800.0,1-10kg,IRON,12.5,0.7
Boguslavka,1916.0,20th Century,Europe,Russia,50369.99999999971,>10kg,IRON,44.55,131.63333
Borgo San Donino,1808.0,19th Century,Europe,Italy,1676.0,1-10kg,L6,44.86667,10.05
Bori,1894.0,19th Century,Asia,India,8600.0,1-10kg,L6,21.95,78.03333
Boriskino,1930.0,20th Century,Europe,Russia,1342.0,1-10kg,CARBONACEOUS,54.23333,52.48333
Borkut,1852.0,19th Century,Europe,Ukraine,7000.0,1-10kg,L5,48.15,24.28333
Borodino,1812.0,19th Century,Europe,Russia,500.0,100-1kg,H5,55.46667,35.86667
Botschetschki,1823.0,19th Century,Europe,Ukraine,614.0,100-1kg,L-OTHER,51.33333,33.88333
Boumdeid (2003),2003.0,21st Century,Africa,Mauritania,190.0,100-1kg,L6,17.71067,-11.3715
Boumdeid (2011),2011.0,21st Century,Africa,Mauritania,3599.0,1-10kg,L6,17.17493,-11.34133
Bovedy,1969.0,20th Century,Europe,United Kingdom,5460.0,1-10kg,L-OTHER,54.56667,-6.33333
Bradford Woods,1886.0,19th Century,North America,United States of America,762.0,100-1kg,L-OTHER,40.5,-80.08333
Braunau,1847.0,19th Century,Europe,Poland,39000.0,>10kg,IRON,50.6,16.3
Breitscheid,1956.0,20th Century,Europe,Germany,1500.0,1-10kg,H5,50.66694,8.18361
Bremervörde,1855.0,19th Century,Europe,Germany,7250.0,1-10kg,L-OTHER,53.4,9.1
Brient,1933.0,20th Century,Europe,Russia,219.0,100-1kg,OTHER,52.13333,59.31667
Bruderheim,1960.0,20th Century,North America,Canada,50369.99999999971,>10kg,L6,53.9,-112.88333
Bukhara,2001.0,21st Century,Asia,Uzbekistan,5300.0,1-10kg,CARBONACEOUS,39.77978,64.60035
Bunburra Rockhole,2007.0,21st Century,Oceania,Australia,324.0,100-1kg,OTHER,-31.35,129.19
Bununu,1942.0,20th Century,Africa,Nigeria,357.0,100-1kg,H-OTHER,10.01667,9.58333
Bur-Gheluai,1919.0,20th Century,Africa,Somalia,50369.99999999971,>10kg,H5,5.0,48.0
Burnwell,1990.0,20th Century,North America,United States of America,1504.0,1-10kg,H4,37.62194,-82.23722
Bursa,1946.0,20th Century,Asia,Turkey,25000.0,>10kg,L6,40.2,29.23333
Buschhof,1863.0,19th Century,Europe,Romania,5000.0,1-10kg,L6,46.45,25.78333
Bustee,1852.0,19th Century,Asia,India,1500.0,1-10kg,OTHER,26.78333,82.83333
Butsura,1861.0,19th Century,Asia,India,29000.0,>10kg,H6,27.08333,84.08333
Buzzard Coulee,2008.0,21st Century,North America,Canada,41000.0,>10kg,H4,52.996,-109.84817
Cabezo de Mayo,1870.0,19th Century,Europe,Spain,25000.0,>10kg,L6,37.98333,-1.16667
Cabin Creek,1886.0,19th Century,North America,United States of America,48500.0,>10kg,IRON,35.5,-93.5
Cacak,1919.0,20th Century,Europe,Republic of Serbia,212.0,100-1kg,OTHER,43.83889,20.33333
Cali,2007.0,21st Century,South America,Colombia,478.0,100-1kg,L-OTHER,3.405,-76.51
Calivo,1916.0,20th Century,Asia,Unknown,2400.0,1-10kg,L-OTHER,11.75,122.33333
Campos Sales,1991.0,20th Century,South America,Brazil,23680.0,>10kg,L5,-7.03333,-40.16667
Çanakkale,1964.0,20th Century,Asia,Turkey,4000.0,1-10kg,L6,39.8,26.6
Cañellas,1861.0,19th Century,Europe,Spain,945.0,100-1kg,H4,41.25,1.66667
Cangas de Onis,1866.0,19th Century,Europe,Spain,34000.0,>10kg,H5,43.38333,-5.15
Canon City,1973.0,20th Century,North America,United States of America,1400.0,1-10kg,H6,38.47028,-105.24139
Cape Girardeau,1846.0,19th Century,North America,United States of America,2300.0,1-10kg,H6,37.26667,-89.58333
Capilla del Monte,1934.0,20th Century,South America,Argentina,750.0,100-1kg,H6,-30.88333,-64.55
Carancas,2007.0,21st Century,South America,Bolivia,342.0,100-1kg,H4,-16.66444,-69.04389
Caratash,1902.0,20th Century,Asia,Turkey,8.0,1-10g,L6,38.5,27.0
Castalia,1874.0,19th Century,North America,United States of America,7300.0,1-10kg,H5,36.08333,-78.06667
Castel Berardenga,1791.0,Ancient,Europe,Italy,32.6,10-100g,L-OTHER,43.35,11.5
Castine,1848.0,19th Century,North America,United States of America,94.0,10-100g,L6,44.38333,-68.75
Castrovillari,1583.0,Ancient,Europe,Italy,15000.0,>10kg,L-OTHER,39.8,16.2
Caswell County,1810.0,19th Century,North America,United States of America,1360.0,1-10kg,OTHER,36.5,-79.25
Ceniceros,1988.0,20th Century,North America,Mexico,1025.0,1-10kg,L-OTHER,26.46667,-105.23333
Centerville,1956.0,20th Century,North America,United States of America,45.6,10-100g,H5,43.2,-96.91667
Cereseto,1840.0,19th Century,Europe,Italy,6460.0,1-10kg,H5,45.08333,8.3
Chadong,1998.0,20th Century,Asia,China,3700.0,1-10kg,L6,28.53333,109.31667
Chail,1814.0,19th Century,Asia,India,0.5,<1g,H6,25.36667,81.66667
Chainpur,1907.0,20th Century,Asia,India,8200.0,1-10kg,L-OTHER,25.85,83.48333
Chajari,1933.0,20th Century,South America,Argentina,18300.0,>10kg,L5,-30.78333,-58.05
Chandakapur,1838.0,19th Century,Asia,India,8800.0,1-10kg,L5,20.26667,76.01667
Chandpur,1885.0,19th Century,Asia,India,1100.0,1-10kg,L6,27.28333,79.05
Changde,1977.0,20th Century,Asia,China,1810.0,1-10kg,H5,29.08333,111.75
Chantonnay,1812.0,19th Century,Europe,France,31500.0,>10kg,L6,46.68333,1.05
Charlotte,1835.0,19th Century,North America,United States of America,4300.0,1-10kg,IRON,36.16667,-87.33333
Charsonville,1810.0,19th Century,Europe,France,27000.0,>10kg,H6,47.93333,1.56667
Charwallas,1834.0,19th Century,Asia,India,12000.0,>10kg,H6,29.48333,75.5
Chassigny,1815.0,19th Century,Europe,France,4000.0,1-10kg,H-OTHER,47.71667,5.36667
Château-Renard,1841.0,19th Century,Europe,France,30000.0,>10kg,L6,47.93333,2.91667
Chaves,1925.0,20th Century,Europe,Spain,2945.0,1-10kg,H-OTHER,41.93333,-7.46667
Chela,1988.0,20th Century,Africa,United Republic of Tanzania,2936.0,1-10kg,H4,-3.66667,32.5
Chelyabinsk,2013.0,21st Century,Europe,Russia,50369.99999999971,>10kg,L5,54.81667,61.11667
Chergach ,2007.0,21st Century,Africa,Mali,50369.99999999971,>10kg,H5,23.69639,-5.01472
Chernyi Bor,1964.0,20th Century,Europe,Belarus,6000.0,1-10kg,H4,53.7,30.1
Cherokee Springs,1933.0,20th Century,North America,United States of America,8400.0,1-10kg,L6,35.03333,-81.88333
Chervettaz,1901.0,20th Century,Europe,Switzerland,705.0,100-1kg,L5,46.55,6.81667
Chervony Kut,1939.0,20th Century,Europe,Ukraine,1700.0,1-10kg,OTHER,50.83333,34.0
Chetrinahatti,1880.0,19th Century,Asia,India,72.0,10-100g,L-OTHER,14.5,76.5
Chiang Khan,1981.0,20th Century,Asia,Laos,367.0,100-1kg,H6,17.9,101.63333
Chicora,1938.0,20th Century,North America,United States of America,303.0,100-1kg,L6,40.93333,-79.73333
Chisenga,1988.0,20th Century,Africa,Malawi,3920.0,1-10kg,IRON,-10.05944,33.395
Chitado,1966.0,20th Century,Africa,Angola,32.6,10-100g,L6,-17.35,13.96667
Chitenay,1978.0,20th Century,Europe,France,4000.0,1-10kg,L6,47.47083,0.97667
Cilimus,1979.0,20th Century,Asia,Indonesia,1600.0,1-10kg,L5,-6.95,108.1
Claxton,1984.0,20th Century,North America,United States of America,1455.0,1-10kg,L6,32.1025,-81.87278
Colby (Wisconsin),1917.0,20th Century,North America,United States of America,50369.99999999971,>10kg,L6,44.9,-90.28333
Cold Bokkeveld,1838.0,19th Century,Africa,South Africa,5200.0,1-10kg,CARBONACEOUS,-33.13333,19.38333
Coleman,1994.0,20th Century,North America,United States of America,469.0,100-1kg,L6,43.76111,-84.50778
Collescipoli,1890.0,19th Century,Europe,Italy,5000.0,1-10kg,H5,42.53333,12.61667
Conquista,1965.0,20th Century,South America,Brazil,20350.0,>10kg,H4,-19.85,-47.55
Cosina,1844.0,19th Century,North America,Mexico,1200.0,1-10kg,H5,21.16667,-100.86667
Cranganore,1917.0,20th Century,Asia,India,1460.0,1-10kg,L6,10.2,76.26667
Crescent,1936.0,20th Century,North America,United States of America,78.4,10-100g,CARBONACEOUS,35.95,-97.58333
Cronstad,1877.0,19th Century,Africa,South Africa,3650.0,1-10kg,H5,-27.7,27.3
Cross Roads,1892.0,19th Century,North America,United States of America,167.0,100-1kg,H5,35.63333,-78.13333
Crumlin,1902.0,20th Century,Europe,United Kingdom,4255.0,1-10kg,L5,54.61667,-6.21667
Cumberland Falls,1919.0,20th Century,North America,United States of America,17000.0,>10kg,OTHER,36.83333,-84.35
Cynthiana,1877.0,19th Century,North America,United States of America,6000.0,1-10kg,L-OTHER,38.4,-84.25
Dahmani,1981.0,20th Century,Africa,Tunisia,18000.0,>10kg,L6,35.61667,8.83333
Dandapur,1878.0,19th Century,Asia,India,5650.0,1-10kg,L6,26.91667,83.96667
Daniel's Kuil,1868.0,19th Century,Africa,South Africa,1064.0,1-10kg,L6,-28.2,24.56667
Danville,1868.0,19th Century,North America,United States of America,2000.0,1-10kg,L6,34.4,-87.06667
Darmstadt,1804.0,19th Century,Europe,Germany,100.0,10-100g,H5,49.86667,8.65
Dashoguz,1998.0,20th Century,Asia,Turkmenistan,7000.0,1-10kg,H5,41.98444,59.685
Daule,2008.0,21st Century,South America,Ecuador,6580.0,1-10kg,L5,-1.87089,-79.95756
De Cewsville,1887.0,19th Century,North America,Canada,340.0,100-1kg,H6,43.0,-80.0
Deal,1829.0,19th Century,North America,Unknown,28.0,10-100g,L6,40.25,-74.0
Delhi,1897.0,19th Century,Asia,India,0.8,<1g,L5,28.56667,77.25
Demina,1911.0,20th Century,Europe,Russia,16400.0,>10kg,L6,51.46667,84.76667
Denver,1967.0,20th Century,North America,United States of America,230.0,100-1kg,L6,39.7825,-104.93056
Dergaon,2001.0,21st Century,Asia,India,12500.0,>10kg,H5,26.68333,93.86667
Desuri,1962.0,20th Century,Asia,India,25400.0,>10kg,H6,25.73333,73.61667
Devgaon,2001.0,21st Century,Asia,India,12000.0,>10kg,H-OTHER,19.0,81.0
Devri-Khera,1994.0,20th Century,Asia,India,1140.0,1-10kg,L6,24.225,76.525
Dhajala,1976.0,20th Century,Asia,India,45000.0,>10kg,H-OTHER,22.37778,71.42722
Dharwar,1848.0,19th Century,Asia,India,1800.0,1-10kg,OTHER,14.88333,75.6
Dhurmsala,1860.0,19th Century,Asia,India,32000.0,>10kg,L6,32.23333,76.46667
Didim,2007.0,21st Century,Asia,Turkey,3396.0,1-10kg,H-OTHER,37.35172,27.32997
Diep River,1906.0,20th Century,Africa,South Africa,1000.0,100-1kg,L6,-33.75,18.56667
Distrito Quebracho,1957.0,20th Century,South America,Argentina,400.0,100-1kg,H4,-31.88333,-60.46667
Djati-Pengilon,1884.0,19th Century,Asia,Indonesia,50369.99999999971,>10kg,H6,-7.5,111.5
Djermaia,1961.0,20th Century,Africa,Chad,3950.0,1-10kg,H-OTHER,12.73333,15.05
Djoumine,1999.0,20th Century,Africa,Tunisia,10000.0,1-10kg,H5,36.95,9.55
Dokachi,1903.0,20th Century,Asia,Bangladesh,3840.0,1-10kg,H5,23.5,90.33333
Dolgovoli,1864.0,19th Century,Europe,Ukraine,1600.0,1-10kg,L6,50.75,25.3
Domanitch,1907.0,20th Century,Asia,Turkey,438.0,100-1kg,L5,40.0,29.0
Dong Ujimqin Qi,1995.0,20th Century,Asia,China,50369.99999999971,>10kg,OTHER,45.5,119.03333
Donga Kohrod,1899.0,19th Century,Asia,India,230.0,100-1kg,H6,21.86667,82.45
Dongtai,1970.0,20th Century,Asia,China,5500.0,1-10kg,L6,32.91667,120.78333
Doroninsk,1805.0,19th Century,Europe,Russia,3891.0,1-10kg,H5,51.2,112.3
Dosso,1962.0,20th Century,Africa,Niger,1250.0,1-10kg,L6,13.05,3.16667
Douar Mghila,1932.0,20th Century,Africa,Morocco,1161.0,1-10kg,L6,32.33333,-6.3
Dowa,1976.0,20th Century,Africa,Malawi,642.0,100-1kg,L-OTHER,-13.66667,33.91667
Drake Creek,1827.0,19th Century,North America,United States of America,5000.0,1-10kg,L6,36.4,-86.5
Dresden (Ontario),1939.0,20th Century,North America,Canada,47700.0,>10kg,H6,42.52,-82.26
Dubrovnik,1951.0,20th Century,Africa,Unknown,1900.0,1-10kg,L-OTHER,42.45833,18.44167
Dunbogan,1999.0,20th Century,Oceania,Australia,30.0,10-100g,L6,-31.66667,152.83333
Dundrum,1865.0,19th Century,Europe,Ireland,2270.0,1-10kg,H5,52.55,-8.03333
Dunhua,1976.0,20th Century,Asia,China,32.6,10-100g,L-OTHER,43.33333,128.25
Durala,1815.0,19th Century,Asia,India,13200.0,>10kg,L6,30.3,76.63333
Duruma,1853.0,19th Century,Africa,Kenya,577.0,100-1kg,L6,-4.0,39.5
Duwun,1943.0,20th Century,Asia,Unknown,2117.0,1-10kg,L6,33.43333,127.26667
Dwaleni,1970.0,20th Century,Africa,eSwatini,3230.0,1-10kg,H4,-27.2,31.31667
Dyalpur,1872.0,19th Century,Asia,India,300.0,100-1kg,L-OTHER,26.25,82.0
Dyarrl Island,1933.0,20th Century,Asia,Unknown,188.0,100-1kg,OTHER,-3.0,151.0
Eagle,1947.0,20th Century,North America,United States of America,10000.0,1-10kg,L6,40.78167,-96.47167
Ehole,1961.0,20th Century,Africa,Angola,2400.0,1-10kg,H5,-17.3,15.83333
Eichstädt,1785.0,Ancient,Europe,Germany,3000.0,1-10kg,H5,48.9,11.21667
Ekeby,1939.0,20th Century,Europe,Sweden,3336.0,1-10kg,H4,56.03333,13.0
Ekh Khera,1916.0,20th Century,Asia,India,840.0,100-1kg,H6,28.26667,78.78333
El Idrissia,1989.0,20th Century,Africa,Algeria,10000.0,1-10kg,L6,34.41667,3.25
El Paso de Aguila,1977.0,20th Century,North America,Mexico,17226.0,>10kg,H5,25.37,-97.37
El Tigre,1993.0,20th Century,North America,Mexico,5000.0,1-10kg,L6,19.96722,-103.05167
Elbert,1998.0,20th Century,North America,United States of America,680.5,100-1kg,L6,39.24667,-104.58817
Elbogen,1399.0,Ancient,Europe,Czechia,50369.99999999971,>10kg,IRON,50.18333,12.73333
Elenovka,1951.0,20th Century,Europe,Ukraine,50369.99999999971,>10kg,L5,47.83333,37.66667
Ellemeet,1925.0,20th Century,Europe,Netherlands,1470.0,1-10kg,OTHER,51.75,4.0
Emmaville,1900.0,20th Century,Oceania,Australia,127.0,100-1kg,OTHER,-29.46667,151.61667
Enshi,1974.0,20th Century,Asia,China,8000.0,1-10kg,H5,30.3,109.5
Ensisheim,1491.0,Ancient,Europe,France,50369.99999999971,>10kg,L6,47.86667,7.35
Épinal,1822.0,19th Century,Europe,France,277.0,100-1kg,H5,48.18333,6.46667
Erakot,1940.0,20th Century,Asia,India,113.0,100-1kg,CARBONACEOUS,19.03333,81.89167
Erevan,1911.0,20th Century,Asia,Armenia,107.2,100-1kg,H-OTHER,40.3,44.5
Ergheo,1889.0,19th Century,Africa,Somalia,20000.0,>10kg,L5,1.16667,44.16667
